channel,c_output,golden,error
70,0.000000,0.028348,0.028348
71,0.000000,-0.013264,0.013264
72,0.000000,0.030487,0.030487
73,0.000000,-0.054325,0.054325
74,0.000000,-0.048651,0.048651
75,0.000000,0.138177,0.138177
76,0.000000,0.012351,0.012351
77,0.000000,0.041720,0.041720
78,0.000000,-0.001585,0.001585
79,0.000000,0.007017,0.007017
80,0.000000,0.049263,0.049263
81,0.000000,-0.016450,0.016450
82,0.000000,0.117986,0.117986
83,0.000000,0.016045,0.016045
84,0.000000,0.005743,0.005743
85,0.000000,0.001270,0.001270
86,0.000000,0.053006,0.053006
87,0.000000,0.040802,0.040802
88,0.000000,0.046509,0.046509
89,0.000000,0.004840,0.004840
90,0.000000,0.036613,0.036613
91,0.000000,-0.003744,0.003744
92,0.000000,-0.009313,0.009313
93,0.000000,0.051291,0.051291
94,0.000000,0.013944,0.013944
95,0.000000,-0.017349,0.017349
96,0.000000,0.033599,0.033599
97,0.000000,0.029207,0.029207
98,0.000000,0.033703,0.033703
99,0.000000,0.019168,0.019168
100,3470465864933420800000000000000000.000000,0.021146,3470465864933420800000000000000000.000000
101,-78546062388321372000000000000000.000000,0.011762,78546062388321372000000000000000.000000
102,-1.#QNAN0,-0.100010,1.#QNAN0
103,0.000000,-0.007072,0.007072
104,3489407894959536200000000000000000.000000,0.020683,3489407894959536200000000000000000.000000
105,0.000000,-0.011610,0.011610
106,0.000000,0.015419,0.015419
107,0.000000,0.012878,0.012878
108,3489502597372541500000000000000000.000000,-0.039694,3489502597372541500000000000000000.000000
109,0.000000,0.003739,0.003739
110,0.000000,0.041564,0.041564
111,0.000000,-0.034455,0.034455
112,0.000000,-0.044510,0.044510
113,0.000000,0.036339,0.036339
114,0.000000,-0.025558,0.025558
115,0.000000,-0.032795,0.032795
116,0.000000,0.005321,0.005321
117,0.000000,0.020719,0.020719
118,0.000000,-0.017656,0.017656
119,0.000000,-0.024414,0.024414
120,0.000000,0.024191,0.024191
121,3386447183952131800000000000000000.000000,0.017293,3386447183952131800000000000000000.000000
122,0.000000,-0.031533,0.031533
123,-0.000000,0.091433,0.091433
124,0.000000,-0.017768,0.017768
125,0.000000,-0.011026,0.011026
126,0.000000,0.053964,0.053964
127,0.000000,0.034945,0.034945
128,0.000000,0.033597,0.033597
129,0.000000,-0.014560,0.014560
130,0.000000,-0.143702,0.143702
131,0.000000,0.047966,0.047966
132,0.000000,-0.022293,0.022293
133,717628966384830260000000000000000.000000,-0.000272,717628966384830260000000000000000.000000
134,0.000000,-0.064889,0.064889
135,0.000000,0.023799,0.023799
136,0.000000,-0.008201,0.008201
137,0.000000,-0.025090,0.025090
138,0.000000,0.010271,0.010271
139,741329792664463600000000000000000.000000,0.048085,741329792664463600000000000000000.000000
140,0.000000,-0.133099,0.133099
141,0.000000,0.077640,0.077640
142,0.000000,0.043766,0.043766
143,0.000000,0.010504,0.010504
144,0.000000,-0.049115,0.049115
145,717712449966229570000000000000000.000000,0.011957,717712449966229570000000000000000.000000
146,3288246971365799400000000000000000.000000,0.012401,3288246971365799400000000000000000.000000
147,0.000000,0.039638,0.039638
148,0.000000,0.049862,0.049862
149,0.000000,0.009101,0.009101
150,717773109028154550000000000000000.000000,0.041988,717773109028154550000000000000000.000000
151,3338345476300649300000000000000000.000000,0.049319,3338345476300649300000000000000000.000000
152,0.000000,-0.006212,0.006212
153,0.000000,0.003694,0.003694
154,0.000000,0.010706,0.010706
155,0.000000,0.031922,0.031922
156,0.000000,-0.010366,0.010366
157,0.000000,0.043252,0.043252
158,0.000000,0.025588,0.025588
159,0.000000,0.241074,0.241074
160,0.000000,-0.001684,0.001684
161,0.000000,-0.078849,0.078849
162,0.000000,0.030481,0.030481
163,3338345476300649300000000000000000.000000,-0.008157,3338345476300649300000000000000000.000000
164,3326340552769679300000000000000000.000000,0.004684,3326340552769679300000000000000000.000000
165,0.000000,0.003093,0.003093
166,3473441872787862800000000000000000.000000,-0.001794,3473441872787862800000000000000000.000000
167,0.000000,0.084390,0.084390
168,0.000000,0.027160,0.027160
169,3338345476300649300000000000000000.000000,-0.006975,3338345476300649300000000000000000.000000
170,0.000000,0.016087,0.016087
171,3472922556941382600000000000000000.000000,-0.032731,3472922556941382600000000000000000.000000
172,0.000000,-0.056269,0.056269
173,0.000000,-0.016572,0.016572
174,0.000000,-0.006246,0.006246
175,0.000000,0.013716,0.013716
176,0.000000,0.011079,0.011079
177,3473419280382145900000000000000000.000000,-0.041434,3473419280382145900000000000000000.000000
178,3565314664348397900000000000000000.000000,0.017094,3565314664348397900000000000000000.000000
179,-0.000000,0.027079,0.027079
180,0.000000,-0.002418,0.002418
181,0.000000,-0.048340,0.048340
182,0.000000,0.013415,0.013415
183,0.000000,-0.024830,0.024830
184,0.000000,0.022116,0.022116
185,0.000000,0.030277,0.030277
186,0.000000,0.009183,0.009183
187,0.000000,-0.003164,0.003164
188,0.000000,0.000426,0.000426
189,0.000000,-0.016273,0.016273
190,0.000000,-0.003830,0.003830
191,0.000000,-0.015003,0.015003
192,0.000000,-0.009168,0.009168
193,0.000000,-0.253936,0.253936
194,-1.#QNAN0,-0.085818,1.#QNAN0
195,0.000000,-0.045109,0.045109
196,0.000000,0.052140,0.052140
197,0.000000,-0.045014,0.045014
198,0.000000,0.025521,0.025521
199,0.000000,0.007451,0.007451
200,0.000000,0.255220,0.255220
201,0.000000,0.007311,0.007311
202,0.000000,-0.002149,0.002149
203,0.000000,-0.025763,0.025763
204,0.000000,-0.036672,0.036672
205,0.000000,-0.039841,0.039841
206,0.000000,0.007318,0.007318
207,0.000000,0.014480,0.014480
208,0.000000,0.030394,0.030394
209,0.000000,0.002416,0.002416
210,0.000000,0.033561,0.033561
211,0.000000,0.001842,0.001842
212,0.000000,0.024035,0.024035
213,0.000000,0.017060,0.017060
214,0.000000,0.100820,0.100820
215,0.000000,0.011233,0.011233
216,0.000000,0.017999,0.017999
217,0.000000,0.041482,0.041482
218,3485832105156060400000000000000000.000000,-0.003770,3485832105156060400000000000000000.000000
219,0.000000,0.042223,0.042223
220,3437165587361653900000000000000000.000000,-0.008185,3437165587361653900000000000000000.000000
221,3699697697887973200000000000000000.000000,0.046185,3699697697887973200000000000000000.000000
222,0.000000,0.081699,0.081699
223,0.000000,-0.022013,0.022013
224,0.000000,-0.011249,0.011249
225,3338345476300649300000000000000000.000000,0.009219,3338345476300649300000000000000000.000000
226,0.000000,-0.012732,0.012732
227,0.000000,-0.061897,0.061897
228,3437144542380986000000000000000000.000000,0.051584,3437144542380986000000000000000000.000000
229,0.000000,-0.027466,0.027466
230,0.000000,0.043837,0.043837
231,0.000000,0.029311,0.029311
232,3338345476300649300000000000000000.000000,-0.041569,3338345476300649300000000000000000.000000
233,0.000000,-0.009590,0.009590
234,0.000000,-0.032511,0.032511
235,3338345476300649300000000000000000.000000,-0.022272,3338345476300649300000000000000000.000000
236,0.000000,-0.022205,0.022205
237,3338345476300649300000000000000000.000000,0.015495,3338345476300649300000000000000000.000000
238,3326340552769679300000000000000000.000000,-0.043890,3326340552769679300000000000000000.000000
239,0.000000,-0.052627,0.052627
240,3473441872787862800000000000000000.000000,0.027166,3473441872787862800000000000000000.000000
241,0.000000,-0.013294,0.013294
242,0.000000,-0.039568,0.039568
243,0.000000,0.016697,0.016697
244,0.000000,0.012279,0.012279
245,3459437057123427300000000000000000.000000,-0.034367,3459437057123427300000000000000000.000000
246,717591750812399240000000000000000.000000,0.021666,717591750812399240000000000000000.000000
247,0.000000,0.033154,0.033154
