| ID   | Mean (Gold) | Mean (C) | Mean Err% | Var (Gold) | Var (C)  | Var Err% | Y MAE (%) |
| 88   |     -0.0147 |  -0.0143 |     3.01% |     0.9401 |   0.9544 |    1.52% |     2.82% |
| 89   |     -0.0190 |  -0.0192 |     0.96% |     1.0366 |   1.0412 |    0.45% |     3.28% |
| 90   |     -0.0181 |  -0.0180 |     0.20% |     1.0448 |   1.0590 |    1.37% |     3.93% |
| 91   |     -0.0430 |  -0.0425 |     0.99% |     1.1504 |   1.1615 |    0.97% |     4.80% |
| 92   |     -0.0595 |  -0.0596 |     0.11% |     1.0581 |   1.0760 |    1.70% |     3.45% |
| 93   |     -0.0353 |  -0.0359 |     1.66% |     1.0241 |   1.0529 |    2.81% |     3.70% |
| 94   |     -0.0272 |  -0.0266 |     2.04% |     1.0621 |   1.0796 |    1.65% |     2.82% |
| 95   |     -0.0169 |  -0.0172 |     1.65% |     1.1285 |   1.1496 |    1.87% |     4.57% |
| 96   |     -0.0397 |  -0.0395 |     0.58% |     1.1143 |   1.1096 |    0.42% |     4.82% |
| 97   |      0.0040 |   0.0034 |    15.71% |     1.3738 |   1.3786 |    0.34% |     5.61% |
| 98   |     -0.0210 |  -0.0208 |     0.64% |     0.8876 |   0.9093 |    2.45% |     2.37% |
| 99   |     -0.0038 |  -0.0034 |    10.19% |     0.9081 |   0.9164 |    0.92% |     2.90% |
| 100  |     -0.0200 |  -0.0203 |     1.53% |     0.8756 |   0.8909 |    1.75% |     2.36% |
| 101  |     -0.0212 |  -0.0208 |     2.22% |     0.8838 |   0.8802 |    0.40% |     2.20% |
| 102  |     -0.0181 |  -0.0187 |     3.79% |     0.9194 |   0.9191 |    0.03% |     2.67% |
| 103  |     -0.0234 |  -0.0233 |     0.51% |     0.9453 |   0.9590 |    1.44% |     3.17% |
| 104  |     -0.0224 |  -0.0221 |     1.35% |     0.9720 |   1.0126 |    4.18% |     2.55% |
| 105  |     -0.0244 |  -0.0244 |     0.07% |     0.9398 |   0.9775 |    4.02% |     2.50% |
| 106  |     -0.0262 |  -0.0262 |     0.10% |     1.0491 |   1.0784 |    2.79% |     3.66% |
| 107  |     -0.0260 |  -0.0257 |     0.84% |     1.0370 |   1.0407 |    0.36% |     3.71% |
| 108  |     -0.0164 |  -0.0167 |     1.62% |     1.1097 |   1.1110 |    0.11% |     4.76% |
| 109  |     -0.0161 |  -0.0163 |     0.84% |     1.0349 |   1.0447 |    0.95% |     3.78% |
| 110  |     -0.0187 |  -0.0186 |     0.80% |     1.0396 |   1.0601 |    1.98% |     4.50% |
| 111  |     -0.0176 |  -0.0167 |     5.05% |     1.7758 |   1.7730 |    0.16% |     7.28% |
| 112  |     -0.0180 |  -0.0186 |     3.50% |     0.8811 |   0.9008 |    2.24% |     2.24% |
| 113  |      0.0198 |   0.0205 |     3.53% |     0.9496 |   0.9464 |    0.33% |     3.39% |
| 114  |      0.0007 |   0.0003 |    64.27% |     1.0040 |   1.0032 |    0.08% |     3.51% |
| 115  |      0.0028 |   0.0028 |     0.42% |     1.0152 |   1.0238 |    0.85% |     3.12% |
| 116  |     -0.0056 |  -0.0057 |     2.31% |     1.0172 |   1.0088 |    0.82% |     2.82% |
| 117  |     -0.0268 |  -0.0271 |     1.27% |     0.9920 |   1.0147 |    2.28% |     2.80% |
| 118  |     -0.0129 |  -0.0126 |     2.00% |     0.9373 |   0.9695 |    3.43% |     3.26% |
| 119  |     -0.0191 |  -0.0196 |     2.53% |     0.9354 |   0.9657 |    3.24% |     3.40% |
| 120  |     -0.0173 |  -0.0179 |     3.34% |     0.9345 |   0.9611 |    2.85% |     3.19% |
| 121  |     -0.0292 |  -0.0283 |     2.85% |     1.0100 |   1.0251 |    1.49% |     3.59% |
| 122  |     -0.0186 |  -0.0186 |     0.13% |     1.0534 |   1.0846 |    2.96% |     3.46% |
| 123  |     -0.0046 |  -0.0044 |     3.84% |     1.0754 |   1.0859 |    0.97% |     4.21% |
| 124  |     -0.0288 |  -0.0277 |     3.62% |     1.0573 |   1.0770 |    1.87% |     3.20% |
| 125  |     -0.0275 |  -0.0279 |     1.59% |     1.7554 |   1.7830 |    1.57% |     7.26% |
| 126  |     -0.0257 |  -0.0250 |     2.38% |     0.8786 |   0.8924 |    1.57% |     2.23% |
| 127  |      0.0148 |   0.0148 |     0.42% |     0.8703 |   0.8870 |    1.92% |     2.10% |
